formula,number
Cs2HgBiCl6,1
Cs2HgBiBr6,1
Cs2HgLaF6,1
Cs2HgLaCl6,1
Cs2HgLaBr6,1
Cs2HgCeF6,1
Cs2HgCeCl6,1
Cs2HgCeBr6,1
Cs2HgPrF6,1
Cs2HgPrCl6,1
Cs2HgPrBr6,1
Cs2HgNdF6,1
Cs2HgNdCl6,1
Cs2HgNdBr6,1
Cs2HgPmF6,1
Cs2HgPmCl6,1
Cs2HgPmBr6,1
Cs2HgSmF6,1
Cs2HgSmCl6,1
Cs2HgSmBr6,1
Cs2HgEuF6,1
Cs2HgEuCl6,1
Cs2HgEuBr6,1
Cs2HgGdF6,1
Cs2HgGdCl6,1
Cs2HgGdBr6,1
Cs2HgTbF6,1
Cs2HgTbCl6,1
Cs2HgTbBr6,1
Cs2HgDyF6,1
Cs2HgDyCl6,1
Cs2HgDyBr6,1
Cs2HgHoF6,1
Cs2HgHoCl6,1
Cs2HgHoBr6,1
Cs2HgErF6,1
Cs2HgErCl6,1
Cs2HgErBr6,1
Cs2HgTmF6,1
Cs2HgTmCl6,1
Cs2HgTmBr6,1
Cs2HgYbF6,1
Cs2HgYbCl6,1
Cs2HgYbBr6,1
Cs2HgLuF6,1
Cs2HgLuCl6,1
Cs2HgLuBr6,1
Cs2HgUF6,1
Cs2HgUCl6,1
Cs2HgUBr6,1
Cs2TlPBr6,1
Cs2TlTiBr6,1
Cs2TlTiI6,1
Cs2TlVBr6,1
Cs2TlVI6,1
Cs2TlCrBr6,1
Cs2TlMnBr6,1
Cs2TlMnI6,1
Cs2TlFeBr6,1
Cs2TlCoBr6,1
Cs2TlCoI6,1
Cs2TlNiCl6,1
Cs2TlNiBr6,1
Cs2TlNiI6,1
Cs2TlCuBr6,1
Cs2TlCuI6,1
Cs2TlGaBr6,1
Cs2TlGaI6,1
Cs2TlAsBr6,1
Cs2TlAsI6,1
Cs2TlNbCl6,1
Cs2TlNbBr6,1
Cs2TlMoBr6,1
Cs2TlMoI6,1
Cs2TlRuBr6,1
Cs2TlRuI6,1
Cs2TlRhBr6,1
Cs2TlRhI6,1
Cs2TlPdF6,1
Cs2TlPdCl6,1
Cs2TlPdBr6,1
Cs2TlAgBr6,1
Cs2TlInBr6,1
Cs2TlSbBr6,1
Cs2TlTaCl6,1
Cs2TlTaBr6,1
Cs2TlIrBr6,1
Cs2TlIrI6,1
Cs2TlAuF6,1
Cs2TlAuCl6,1
Cs2TlAuBr6,1
Cs2TlBiCl6,1
Cs2TlSmBr6,1
Cs2TlEuBr6,1
Cs2TlGdBr6,1
Cs2TlTbBr6,1
Cs2TlDyBr6,1
Cs2TlHoBr6,1
Cs2TlErBr6,1
Cs2TlTmCl6,1
Cs2TlTmBr6,1
Cs2TlYbF6,1
Cs2TlYbCl6,1
Cs2TlYbBr6,1
Tl2LiAlF6,1
Tl2LiPF6,1
Tl2LiCrF6,1
Tl2LiFeF6,1
Tl2LiCoF6,1
Tl2LiNiF6,1
Tl2LiCuF6,1
Tl2LiGaF6,1
Tl2LiAsF6,1
Tl2LiNbF6,1
Tl2LiMoF6,1
Tl2LiRuF6,1
Tl2LiRhF6,1
Tl2LiPdF6,1
Tl2LiPdCl6,1
Tl2LiAgF6,1
Tl2LiAgCl6,1
Tl2LiInF6,1
Tl2LiSbF6,1
Tl2LiTaF6,1
Tl2LiIrF6,1
Tl2LiAuF6,1
Tl2LiAuCl6,1
Tl2LiBiF6,1
Tl2LiBiBr6,1
Tl2LiLaCl6,1
Tl2LiLaBr6,1
Tl2LiCeBr6,1
Tl2LiPrF6,1
Tl2LiPrBr6,1
Tl2LiNdF6,1
Tl2LiNdBr6,1
Tl2LiSmF6,1
Tl2LiSmBr6,1
Tl2LiEuF6,1
Tl2LiTbF6,1
Tl2LiDyF6,1
Tl2LiHoF6,1
Tl2LiErF6,1
Tl2LiTmF6,1
Tl2LiYbF6,1
Tl2LiUBr6,1
Tl2NaBF6,1
Tl2NaNF6,1
Tl2NaTiCl6,1
Tl2NaVCl6,1
Tl2NaCrCl6,1
Tl2NaMnCl6,1
Tl2NaFeF6,1
Tl2NaFeCl6,1
Tl2NaCoF6,1
Tl2NaCoCl6,1
Tl2NaNiF6,1
Tl2NaNiCl6,1
Tl2NaCuCl6,1
Tl2NaGaCl6,1
Tl2NaAsF6,1
Tl2NaAsCl6,1
Tl2NaYCl6,1
Tl2NaYBr6,1
Tl2NaNbCl6,1
Tl2NaNbBr6,1
Tl2NaMoF6,1
Tl2NaMoCl6,1
Tl2NaMoBr6,1
Tl2NaRuF6,1
Tl2NaRuCl6,1
Tl2NaRhF6,1
Tl2NaRhCl6,1
Tl2NaPdF6,1
Tl2NaPdCl6,1
Tl2NaPdBr6,1
Tl2NaAgCl6,1
Tl2NaAgBr6,1
Tl2NaInCl6,1
Tl2NaInBr6,1
Tl2NaSbF6,1
Tl2NaSbCl6,1
Tl2NaSbBr6,1
Tl2NaTaF6,1
Tl2NaTaCl6,1
Tl2NaTaBr6,1
Tl2NaIrF6,1
Tl2NaIrCl6,1
Tl2NaIrBr6,1
Tl2NaAuF6,1
Tl2NaAuCl6,1
Tl2NaAuBr6,1
Tl2NaBiCl6,1
Tl2NaLaCl6,1
Tl2NaCeCl6,1
Tl2NaPrCl6,1
Tl2NaPrBr6,1
Tl2NaNdCl6,1
Tl2NaNdBr6,1
Tl2NaPmBr6,1
Tl2NaSmCl6,1
Tl2NaSmBr6,1
Tl2NaEuCl6,1
Tl2NaEuBr6,1
Tl2NaGdCl6,1
Tl2NaGdBr6,1
Tl2NaTbCl6,1
Tl2NaTbBr6,1
Tl2NaDyCl6,1
Tl2NaDyBr6,1
Tl2NaHoCl6,1
Tl2NaHoBr6,1
Tl2NaErCl6,1
Tl2NaErBr6,1
Tl2NaTmCl6,1
Tl2NaTmBr6,1
Tl2NaYbF6,1
Tl2NaYbCl6,1
Tl2NaYbBr6,1
Tl2NaLuCl6,1
Tl2NaUCl6,1
Tl2KBF6,1
Tl2KBCl6,1
Tl2KNF6,1
Tl2KNCl6,1
Tl2KAlCl6,1
Tl2KAlBr6,1
Tl2KPCl6,1
Tl2KPBr6,1
Tl2KTiCl6,1
Tl2KVCl6,1
Tl2KVBr6,1
Tl2KCrCl6,1
Tl2KCrBr6,1
Tl2KMnCl6,1
Tl2KMnBr6,1
Tl2KFeCl6,1
Tl2KFeBr6,1
Tl2KCoF6,1
Tl2KCoCl6,1
Tl2KCoBr6,1
Tl2KNiCl6,1
Tl2KNiBr6,1
Tl2KCuCl6,1
Tl2KCuBr6,1
Tl2KGaCl6,1
Tl2KGaBr6,1
Tl2KAsF6,1
Tl2KAsCl6,1
Tl2KAsBr6,1
Tl2KNbCl6,1
Tl2KMoF6,1
Tl2KMoCl6,1
Tl2KRuF6,1
Tl2KRuCl6,1
Tl2KRhF6,1
Tl2KRhCl6,1
Tl2KPdF6,1
Tl2KAgCl6,1
Tl2KInCl6,1
Tl2KSbF6,1
Tl2KTaF6,1
Tl2KTaCl6,1
Tl2KIrF6,1
Tl2KIrCl6,1
Tl2KAuF6,1
Tl2KYbF6,1
Tl2RbBF6,1
Tl2RbBCl6,1
Tl2RbBBr6,1
Tl2RbNF6,1
Tl2RbNCl6,1
Tl2RbAlCl6,1
Tl2RbPCl6,1
Tl2RbPBr6,1
Tl2RbVCl6,1
Tl2RbCrCl6,1
Tl2RbMnCl6,1
Tl2RbFeCl6,1
Tl2RbCoF6,1
Tl2RbCoCl6,1
Tl2RbNiCl6,1
Tl2RbCuCl6,1
Tl2RbGaCl6,1
Tl2RbAsF6,1
Tl2RbAsCl6,1
Tl2RbMoF6,1
Tl2RbRuF6,1
Tl2RbRhF6,1
Tl2RbPdF6,1
Tl2RbSbF6,1
Tl2RbTaF6,1
Tl2RbIrF6,1
Tl2RbAuF6,1
Tl2RbYbF6,1
Tl2CsBF6,1
Tl2CsBCl6,1
Tl2CsBBr6,1
Tl2CsNF6,1
Tl2CsNCl6,1
Tl2CsNBr6,1
