formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2NaSmBr6,Li,Na,Sm,Br,1.159,1.028,0.958,0.993,1.955,8.51926495205976,1
Li2NaSmI6,Li,Na,Sm,I,1.159,1.028,0.958,0.993,2.194,8.759949745614646,1
Li2NaEuF6,Li,Na,Eu,F,1.159,1.028,0.947,0.9875,1.331,7.677045446250844,1
Li2NaEuCl6,Li,Na,Eu,Cl,1.159,1.028,0.947,0.9875,1.806,8.158058104478693,1
Li2NaEuBr6,Li,Na,Eu,Br,1.159,1.028,0.947,0.9875,1.955,8.30894418042806,1
Li2NaEuI6,Li,Na,Eu,I,1.159,1.028,0.947,0.9875,2.194,8.550969496883756,1
Li2NaGdF6,Li,Na,Gd,F,1.159,1.028,0.936,0.982,1.331,7.477250076783116,1
Li2NaGdCl6,Li,Na,Gd,Cl,1.159,1.028,0.936,0.982,1.806,7.960956797760712,1
Li2NaGdBr6,Li,Na,Gd,Br,1.159,1.028,0.936,0.982,1.955,8.112687958656842,1
Li2NaGdI6,Li,Na,Gd,I,1.159,1.028,0.936,0.982,2.194,8.356068814053991,1
Li2NaTbF6,Li,Na,Tb,F,1.159,1.028,0.924,0.976,1.331,7.2738151911456335,1
Li2NaTbCl6,Li,Na,Tb,Cl,1.159,1.028,0.924,0.976,1.806,7.760495519014486,1
Li2NaTbBr6,Li,Na,Tb,Br,1.159,1.028,0.924,0.976,1.955,7.9131594534407155,1
Li2NaTbI6,Li,Na,Tb,I,1.159,1.028,0.924,0.976,2.194,8.158036502621043,1
Li2NaDyF6,Li,Na,Dy,F,1.159,1.028,0.912,0.97,1.331,7.084146906440502,1
Li2NaDyCl6,Li,Na,Dy,Cl,1.159,1.028,0.912,0.97,1.806,7.573837628089986,1
Li2NaDyBr6,Li,Na,Dy,Br,1.159,1.028,0.912,0.97,1.955,7.727445875512666,1
Li2NaDyI6,Li,Na,Dy,I,1.159,1.028,0.912,0.97,2.194,7.973837628089986,1
Li2NaHoF6,Li,Na,Ho,F,1.159,1.028,0.9,0.964,1.331,6.906989457971193,1
Li2NaHoCl6,Li,Na,Ho,Cl,1.159,1.028,0.9,0.964,1.806,7.399728047182812,1
Li2NaHoBr6,Li,Na,Ho,Br,1.159,1.028,0.9,0.964,1.955,7.554292362535509,1
Li2NaHoI6,Li,Na,Ho,I,1.159,1.028,0.9,0.964,2.194,7.802217673738828,1
Li2NaErF6,Li,Na,Er,F,1.159,1.028,0.889,0.9585,1.331,6.7546390473367275,1
Li2NaErCl6,Li,Na,Er,Cl,1.159,1.028,0.889,0.9585,1.806,7.250205035860462,1
Li2NaErBr6,Li,Na,Er,Br,1.159,1.028,0.889,0.9585,1.955,7.405656261734224,1
Li2NaErI6,Li,Na,Er,I,1.159,1.028,0.889,0.9585,2.194,7.655004201223008,1
Li2NaTmF6,Li,Na,Tm,F,1.159,1.028,0.879,0.9535,1.331,6.623816108596797,1
Li2NaTmCl6,Li,Na,Tm,Cl,1.159,1.028,0.879,0.9535,1.806,7.121980765125376,1
