formula,number
Rb2KAsCl6,1
Rb2KAsBr6,1
Rb2KNbCl6,1
Rb2KMoCl6,1
Rb2KMoBr6,1
Rb2KRuF6,1
Rb2KRuCl6,1
Rb2KRuBr6,1
Rb2KRhCl6,1
Rb2KRhBr6,1
Rb2KAgCl6,1
Rb2KInCl6,1
Rb2KTaF6,1
Rb2KTaCl6,1
Rb2KIrCl6,1
Rb2KIrBr6,1
Rb2KAuCl6,1
Rb2KLaF6,1
Rb2KCeF6,1
Rb2KPrF6,1
Rb2KNdF6,1
Rb2KLuF6,1
Rb2KUF6,1
Rb2CuAlF6,1
Rb2CuPF6,1
Rb2CuScF6,1
Rb2CuScCl6,1
Rb2CuTiF6,1
Rb2CuVF6,1
Rb2CuCrF6,1
Rb2CuMnF6,1
Rb2CuFeF6,1
Rb2CuCoF6,1
Rb2CuNiF6,1
Rb2CuGaF6,1
Rb2CuAsF6,1
Rb2CuYF6,1
Rb2CuYCl6,1
Rb2CuNbF6,1
Rb2CuNbCl6,1
Rb2CuMoF6,1
Rb2CuRuF6,1
Rb2CuRhF6,1
Rb2CuPdF6,1
Rb2CuPdCl6,1
Rb2CuAgF6,1
Rb2CuAgCl6,1
Rb2CuInF6,1
Rb2CuInCl6,1
Rb2CuSbF6,1
Rb2CuSbCl6,1
Rb2CuTaF6,1
Rb2CuTaCl6,1
Rb2CuIrF6,1
Rb2CuAuF6,1
Rb2CuAuCl6,1
Rb2CuTlF6,1
Rb2CuTlCl6,1
Rb2CuBiF6,1
Rb2CuBiCl6,1
Rb2CuBiBr6,1
Rb2CuLaF6,1
Rb2CuLaCl6,1
Rb2CuLaBr6,1
Rb2CuCeF6,1
Rb2CuCeCl6,1
Rb2CuCeBr6,1
Rb2CuPrF6,1
Rb2CuPrCl6,1
Rb2CuPrBr6,1
Rb2CuNdF6,1
Rb2CuNdCl6,1
Rb2CuNdBr6,1
Rb2CuPmF6,1
Rb2CuPmCl6,1
Rb2CuPmBr6,1
Rb2CuSmF6,1
Rb2CuSmCl6,1
Rb2CuSmBr6,1
Rb2CuEuF6,1
Rb2CuEuCl6,1
Rb2CuEuBr6,1
Rb2CuGdF6,1
Rb2CuGdCl6,1
Rb2CuGdBr6,1
Rb2CuTbF6,1
Rb2CuTbCl6,1
Rb2CuTbBr6,1
Rb2CuDyF6,1
Rb2CuDyCl6,1
Rb2CuDyBr6,1
Rb2CuHoF6,1
Rb2CuHoCl6,1
Rb2CuErF6,1
Rb2CuErCl6,1
Rb2CuTmF6,1
Rb2CuTmCl6,1
Rb2CuYbF6,1
Rb2CuYbCl6,1
Rb2CuLuF6,1
Rb2CuLuCl6,1
Rb2CuUF6,1
Rb2CuUCl6,1
Rb2CuUBr6,1
Rb2AgBF6,1
Rb2AgNF6,1
Rb2AgAlF6,1
Rb2AgAlCl6,1
Rb2AgAlBr6,1
Rb2AgPF6,1
Rb2AgPCl6,1
Rb2AgScF6,1
Rb2AgScCl6,1
Rb2AgScBr6,1
Rb2AgTiF6,1
Rb2AgTiCl6,1
Rb2AgTiBr6,1
Rb2AgVF6,1
Rb2AgVCl6,1
Rb2AgVBr6,1
Rb2AgCrF6,1
Rb2AgCrCl6,1
Rb2AgCrBr6,1
Rb2AgMnF6,1
Rb2AgMnCl6,1
Rb2AgMnBr6,1
Rb2AgFeF6,1
Rb2AgFeCl6,1
Rb2AgFeBr6,1
Rb2AgCoF6,1
Rb2AgCoCl6,1
Rb2AgCoBr6,1
Rb2AgNiF6,1
Rb2AgNiCl6,1
Rb2AgNiBr6,1
