B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
2.99,55.0,1.6,47.0,2.0,1.0,6.76,756.4,1.7763568394002505e-15,26.0,63.0,8.0,0.3499999999999998,1.0,10.0,49.0,0.08,0
2.99,33.91,1.5,80.0,2.0,2.0,9.76,845.1099999999999,2.3000000000000007,25.0,30.0,8.0,0.4199999999999999,0.0,10.0,11.0,0.5499999999999998,0
11.9,55.0,1.6,47.0,2.0,1.0,6.76,709.4,0.3000000000000007,26.0,63.0,6.0,0.3499999999999998,1.0,10.0,40.0,0.08,0
11.9,46.5,1.35,29.0,2.0,1.0,5.220000000000001,772.3,1.5499999999999998,26.0,81.0,6.0,0.3199999999999998,1.0,10.0,20.0,0.1200000000000001,1
11.9,50.0,1.3,31.0,2.0,3.0,2.17,879.3599999999999,5.4,34.0,79.0,6.0,0.2299999999999999,1.0,0.0,10.0,1.16,1
11.9,72.0,1.3,44.0,2.0,1.0,8.66,901.36,5.4,29.0,66.0,6.0,0.6200000000000001,1.0,7.0,17.0,0.1399999999999996,1
11.9,43.0,1.45,51.0,2.0,5.0,2.95,872.3599999999999,5.549999999999999,32.0,59.0,6.0,0.4699999999999997,3.0,10.0,20.0,0.4899999999999993,0
11.9,87.0,1.35,23.0,2.0,2.0,2.37,916.36,5.449999999999999,32.0,87.0,6.0,0.0499999999999998,0.0,3.0,13.0,0.7600000000000002,1
4.47,55.0,1.6,47.0,2.0,1.0,6.76,821.4,0.200000000000001,26.0,63.0,7.0,0.3499999999999998,1.0,10.0,49.0,0.08,0
4.47,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,941.2,2.5500000000000007,34.0,61.0,7.0,0.1999999999999999,1.0,10.0,11.0,1.2600000000000002,1
4.47,65.0,1.55,49.0,2.0,3.0,3.5699999999999994,1006.36,5.550000000000001,34.0,61.0,7.0,0.1999999999999999,1.0,10.0,11.0,1.2600000000000002,1
10.5,30.0,1.15,33.0,2.0,5.0,4.056,538.4,0.2500000000000009,24.0,5.0,3.0,0.5400000000000003,3.0,0.0,10.0,0.4599999999999999,0
10.5,36.0,1.35,79.0,2.0,1.0,17.576,582.8,1.3499999999999996,18.0,41.0,3.0,0.9000000000000001,1.0,10.0,20.0,0.9299999999999996,0
10.5,36.0,1.35,79.0,2.0,1.0,17.576,647.9599999999999,4.35,18.0,41.0,3.0,0.9000000000000001,1.0,10.0,20.0,0.9299999999999996,0
6.77,55.0,1.6,47.0,2.0,1.0,8.776,751.8,1.85,26.0,9.0,2.0,0.29,1.0,10.0,11.0,0.3999999999999994,0
6.77,46.5,1.35,29.0,2.0,1.0,7.236000000000001,743.3,1.5999999999999996,26.0,9.0,2.0,0.26,1.0,10.0,11.0,0.3599999999999994,0
8.96,36.0,1.35,79.0,2.0,1.0,17.576,574.3,1.0999999999999996,18.0,41.0,4.0,0.9000000000000001,1.0,10.0,20.0,0.9299999999999996,0
8.96,48.0,1.6,83.0,2.0,5.0,8.086,476.5,1.049999999999999,24.0,45.0,4.0,0.3800000000000001,3.0,10.0,40.0,0.1499999999999994,0
8.96,87.0,1.45,42.0,2.0,1.0,8.475999999999999,515.5,1.1999999999999984,23.0,4.0,4.0,0.5200000000000002,1.0,5.0,45.0,0.94,0
8.55,46.5,1.35,29.0,2.0,1.0,7.236000000000001,701.3,1.5,26.0,9.0,2.0,0.26,1.0,10.0,10.0,0.3599999999999994,0
13.5,30.0,1.15,33.0,2.0,5.0,4.056,555.7099999999999,1.0500000000000007,23.0,5.0,2.0,0.5400000000000003,3.0,0.0,10.0,0.4599999999999999,0
13.5,30.0,1.15,33.0,2.0,5.0,4.056,445.91,1.349999999999998,23.0,5.0,2.0,0.5400000000000003,3.0,0.0,50.0,0.4599999999999999,0
13.5,36.0,1.35,79.0,2.0,1.0,17.576,523.31,0.3500000000000005,17.0,41.0,2.0,0.9000000000000001,1.0,10.0,20.0,0.9299999999999996,0
13.5,66.0,1.35,45.0,2.0,1.0,10.676,656.8699999999999,4.25,19.0,7.0,2.0,0.6399999999999999,1.0,8.0,18.0,0.54,0
7.31,55.0,1.6,47.0,2.0,1.0,8.776,676.9599999999999,4.550000000000001,26.0,9.0,3.0,0.29,1.0,10.0,20.0,0.3999999999999994,0
