B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
0.534,205.0,1.85,58.0,2.0,2.0,5.045999999999999,751.1125000000001,0.6999999999999975,36.0,20.0,6.0,0.5199999999999998,0.0,1.0,59.0,1.7399999999999998,0
0.534,158.0,1.8,64.0,2.0,2.0,6.176,813.9125,1.6500000000000004,36.0,26.0,6.0,0.4399999999999999,0.0,1.0,1.0,1.7399999999999998,0
0.534,87.0,1.45,42.0,2.0,1.0,8.475999999999999,742.9125,1.3000000000000007,33.0,4.0,6.0,0.5200000000000002,1.0,5.0,5.0,0.94,0
0.534,208.0,1.85,60.0,2.0,2.0,5.286,863.9125,1.700000000000001,36.0,22.0,6.0,0.5,0.0,0.0,0.0,1.7399999999999998,0
0.534,192.0,1.85,62.0,2.0,2.0,5.795999999999999,847.9125,1.700000000000001,36.0,24.0,6.0,0.47,0.0,0.0,0.0,1.7399999999999998,0
0.971,30.0,1.15,33.0,2.0,5.0,4.056,684.4999999999999,1.3499999999999996,34.0,5.0,5.0,0.5400000000000003,3.0,0.0,0.0,0.4599999999999999,0
0.971,36.0,1.35,79.0,2.0,1.0,17.576,652.0999999999999,0.6500000000000012,28.0,41.0,5.0,0.9000000000000001,1.0,10.0,10.0,0.9299999999999996,0
0.971,48.0,1.6,83.0,2.0,5.0,8.086,664.0999999999999,0.9000000000000012,34.0,45.0,5.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,0
0.971,205.0,1.85,58.0,2.0,2.0,5.045999999999999,924.66,5.050000000000001,36.0,20.0,5.0,0.5199999999999998,0.0,1.0,1.0,1.7399999999999998,0
0.971,55.0,1.35,27.0,2.0,2.0,7.135999999999999,774.6599999999999,4.550000000000001,30.0,11.0,5.0,0.24,0.0,7.0,7.0,0.54,1
0.971,83.0,1.4,24.0,2.0,1.0,5.426,802.6599999999999,4.6,33.0,14.0,5.0,0.02,1.0,5.0,5.0,1.1199999999999997,1
0.971,46.5,1.35,29.0,2.0,1.0,7.236000000000001,766.1599999999999,4.550000000000001,28.0,9.0,5.0,0.26,1.0,10.0,10.0,0.3599999999999994,1
0.971,163.0,1.75,66.0,2.0,2.0,6.8260000000000005,817.4999999999999,1.95,36.0,28.0,5.0,0.4199999999999999,0.0,0.0,0.0,1.7399999999999998,0
0.971,184.0,1.85,63.0,2.0,2.0,3.516,838.4999999999999,2.0500000000000007,36.0,25.0,5.0,0.4399999999999999,0.0,0.0,0.0,1.7399999999999998,0
0.971,50.0,1.3,31.0,2.0,3.0,4.186,704.4999999999999,1.5,36.0,7.0,5.0,0.1700000000000001,1.0,0.0,0.0,1.6399999999999997,0
0.971,65.0,1.55,49.0,2.0,3.0,5.585999999999999,609.6999999999999,0.6499999999999986,36.0,11.0,5.0,0.1400000000000001,1.0,10.0,50.0,1.7399999999999998,0
0.971,54.0,1.35,77.0,2.0,2.0,20.876,773.6599999999999,4.550000000000001,30.0,39.0,5.0,0.5600000000000003,0.0,7.0,7.0,0.5600000000000005,1
0.971,137.0,1.75,71.0,2.0,2.0,8.116,791.4999999999999,1.95,36.0,33.0,5.0,0.3699999999999999,0.0,1.0,1.0,1.7399999999999998,1
0.971,68.0,1.4,25.0,2.0,2.0,5.716,787.6599999999999,4.6,32.0,13.0,5.0,0.0899999999999998,0.0,5.0,5.0,1.1199999999999997,0
0.971,87.0,1.45,42.0,2.0,1.0,8.475999999999999,806.6599999999999,4.65,33.0,4.0,5.0,0.5200000000000002,1.0,5.0,5.0,0.94,1
0.971,97.0,1.6,21.0,2.0,2.0,1.2660000000000002,816.6599999999999,4.800000000000001,36.0,17.0,5.0,0.2799999999999998,0.0,1.0,1.0,1.5,1
